index,id,productName,finalPrice,originalPrice,discountValue,discountPercentage,category,url,rating,ratingAverage
"63","100070873976","[BEST OFFER] HUAWEI Band 10 Smartband | Sleek Aluminum Alloy Case | Pro-Level Sleep Analysis | Emotional Wellbeing Assistant","Rp499.000","Rp699.000","Rp200.000","29","Handphone & Tablet/Wearable Devices/Smart Watch","https://www.tokopedia.com/huawei/best-offer-huawei-band-10-smartband-sleek-aluminum-alloy-case-pro-level-sleep-analysis-emotional-wellbeing-assistant-1730874620066826044","5","5.0"
"64","102071728832","Pulpen Hias / Pulpen Cantik / Pulpen Pita","Rp4.000","null","None","0","Office & Stationery/Alat Tulis/Pulpen","https://www.tokopedia.com/dakyun/pulpen-hias-pulpen-cantik-pulpen-pita-1729745540247684393","5","5.0"
"65","15428204728","promo 4 pcs celana pendek pria wanita dewasa santai baby terry saku resleting jumbo","Rp61.800","Rp150.000","Rp88.200","59","Fashion Pria/Celana Pria/Celana Pendek Pria","https://www.tokopedia.com/fathnastore/promo-4-pcs-celana-pendek-pria-wanita-dewasa-santai-baby-terry-saku-resleting-jumbo-3pcs-m-40-50kg-3863f","5","4.8"
"66","100706189172","Free Totebag  Lucu Madu TJ","Rp999.999","null","None","0","Fashion Wanita/Tas Wanita/Tote Bag","https://www.tokopedia.com/ultrasakti/free-totebag-lucu-madu-tj-1731839636642170526","5","4.9"
"67","102158031163","iPhone 15 Garansi Resmi Promo","Rp11.101.000","null","None","0","Handphone & Tablet/Handphone/iOS","https://www.tokopedia.com/igoodsgadget/iphone-15-garansi-resmi-promo-1732304601368069795","5","5.0"
"68","100271293548","[GEL] Azarine Hydrasoothe Sunscreen GeL SPF45 PA++++ 50ml Berminyak  Wajah  Facial  Sunblock  Sunscren","Rp59.000","Rp70.000","Rp11.000","16","Kecantikan/Perawatan Wajah/Sunblock wajah","https://www.tokopedia.com/azarinecosmetics/gel-azarine-hydrasoothe-sunscreen-gel-spf45-pa-50ml-berminyak-wajah-facial-sunblock-sunscren-1729382315037460376","5","4.9"
"69","801570927","Sound Detection Sensor Module","Rp6.500","null","None","0","Audio, Kamera & Elektronik Lainnya/Perangkat Elektronik Lainnya/Lainnya","https://www.tokopedia.com/aisyahrobot/sound-detection-sensor-module","5","4.9"
"70","100696395450","Xiaomi Redmi Pad 2 (4/128G) | 11"" 2.5 Layar Super-jernih | Helio G100-Ultra [Official Store]","Rp1.999.000","Rp2.099.000","Rp100.000","5","Handphone & Tablet/Tablet/Android OS","https://www.tokopedia.com/xiaomi/xiaomi-redmi-pad-2-4-128g-11-2-5-layar-super-jernih-helio-g100-ultra-official-store-1731821048621467161","5","4.9"
"71","2934291165","Sosoft Deterjen Cair Rose Waterlily Botol 700 ml x 2pcs","Rp32.100","Rp49.768","Rp17.668","36","Kesehatan/Perlengkapan Kebersihan/Deterjen Laundry","https://www.tokopedia.com/wingsofficial/sosoft-deterjen-cair-rose-waterlily-botol-700-ml-x-2pcs","5","5.0"
"72","11454495590","Nintendo Switch OLED Console Original Full Game","Rp3.200.000","null","None","0","Gaming/Game Console/Nintendo","https://www.tokopedia.com/rkh-official-store/nintendo-switch-oled-console-original-full-game-switch-lite-new-128gb-a05ee","5","5.0"
